Date,Mkt-RF,HML,SMB,RF,Crude Oil,Natural Gas,Wheat,Corn,Soybean
1/5/2016,0.12,0,-0.21,0,-2.149,-0.386,0.655,0.112,0.376
1/6/2016,-1.35,0.01,-0.13,0,-5.56,-2.495,0.325,-1.085,0.922
1/7/2016,-2.44,0.12,-0.28,0,-2.061,5.073,1.243,-0.919,0.143
1/8/2016,-1.11,-0.04,-0.47,0,-0.331,3.778,2.134,-0.049,0.285
1/11/2016,-0.06,0.35,-0.65,0,-5.277,-3.074,-1.985,0.163,0.171
1/12/2016,0.71,-0.79,-0.39,0,-3.088,-5.801,2.612,0.146,1.107
1/13/2016,-2.67,0.82,-0.71,0,0.131,0.532,-0.675,0.893,0.926
1/14/2016,1.65,-0.42,-0.01,0,2.362,-5.729,-1.935,-0.386,-0.334
1/15/2016,-2.14,-0.18,0.42,0,-5.705,-1.823,1.067,-0.792,-0.368
1/19/2016,-0.2,-0.04,-1.34,0,-3.263,-0.429,0.158,1.726,0.512
1/20/2016,-0.94,-1.21,1.85,0,-6.711,1.291,-0.632,-0.8,-1.075
1/21/2016,0.45,0.01,-0.48,0,4.162,0.944,0.742,0.194,0.515
1/22/2016,2.08,-0.22,0.21,0,9.008,0.047,0.105,0.58,-0.228
1/25/2016,-1.71,-0.96,-0.37,0,-5.747,0.888,1.262,-1.361,0.456
1/26/2016,1.52,1.23,0.37,0,3.659,1.019,0.675,-0.308,-0.454
1/27/2016,-1.11,1.72,-0.56,0,2.703,0.413,-1.702,-0.896,0.742
1/28/2016,0.49,1.27,-0.47,0,2.848,1.159,-0.892,0.822,-1.727
1/29/2016,2.57,0.39,0.46,0,1.204,5.316,1.482,-0.375,1.671
2/1/2016,-0.04,-0.96,-0.2,0.001,-5.949,-6.353,-0.835,1.08,-0.17
2/2/2016,-2,-0.34,-0.02,0.001,-5.503,-5.901,0,0.825,0.624
2/3/2016,0.46,0.45,-0.32,0.001,8.032,0.642,0.999,-0.578,-1.072
2/4/2016,0.27,0.3,0.2,0.001,-1.735,-3.238,-1.51,-2.761,-0.257
2/5/2016,-2.06,1.78,-1.09,0.001,-2.617,4.615,-1.269,-0.432,-0.8
2/8/2016,-1.51,0.95,-0.02,0.001,-3.885,3.732,-1.768,-0.617,-0.576
2/9/2016,-0.1,-0.28,-0.48,0.001,-5.894,-1.963,-0.218,-1.611,0.087
2/10/2016,0.01,-0.58,-0.05,0.001,-1.754,-2.479,0.82,0.409,-0.116
2/11/2016,-1.17,-1.5,0.51,0.001,-4.517,-2.542,-0.65,-0.781,1.305
2/12/2016,1.98,1.13,-0.53,0.001,12.324,-1.404,-0.164,0.822,-0.086
2/16/2016,1.78,-0.57,0.55,0.001,-1.359,-3.204,1.475,1.613,0.802
2/17/2016,1.75,-0.65,-0.05,0.001,5.579,2.049,0.915,0.033,0.313
2/18/2016,-0.51,0.2,-0.01,0.001,0.359,-4.634,-1.334,0.067,-0.312
2/19/2016,0.06,-0.63,0.43,0.001,-3.672,-2.592,-0.108,0.167,-0.171
2/22/2016,1.43,0.23,-0.26,0.001,6.208,0.942,-0.704,-3.783,0.313
2/23/2016,-1.22,-0.5,0.48,0.001,-4.552,-2.142,-2.29,0.745,-1.334
2/24/2016,0.53,-0.3,0.68,0.001,0.879,-0.224,-1.172,-0.808,-0.201
2/25/2016,1.1,0.23,-0.43,0.001,2.862,-3.768,0.565,0.797,-0.98
2/26/2016,-0.01,0.26,0.81,0.001,-0.877,0.336,-0.449,-0.413,-0.466
2/29/2016,-0.69,0.26,0.66,0.001,2.959,-4.467,0.395,0.155,-0.234
3/1/2016,2.34,0.28,-0.64,0.001,1.926,1.812,-1.461,0.414,-0.264
3/2/2016,0.54,0.72,0.51,0.001,0.756,-3.674,0.969,-0.361,0.411
3/3/2016,0.51,0.64,0.43,0.001,-0.26,-2.324,2.372,0.655,0.234
3/4/2016,0.37,0.3,0.27,0.001,3.905,1.647,0.331,0.873,1.664
3/7/2016,0.21,0.52,1.21,0.001,5.512,1.441,0.66,-0.017,0.345
3/8/2016,-1.27,-0.47,-1.14,0.001,-3.694,1.302,0.765,-1.205,0.458
3/9/2016,0.5,0.37,0.04,0.001,4.904,2.336,0.542,-0.475,0.285
3/10/2016,-0.11,0.64,-0.82,0.001,-1.175,2.055,1.671,0.424,0.199
3/11/2016,1.69,0.17,0.28,0.001,1.744,1.902,-0.371,0.563,0.709
3/14/2016,-0.12,-0.88,-0.07,0.001,-3.429,-0.165,0.373,1.995,0
3/15/2016,-0.36,0.67,-1.43,0.001,-2.259,1.759,-0.313,-0.086,-0.419
3/16/2016,0.63,-0.05,0.1,0.001,5.834,0.918,-1.362,0.137,0.28
3/17/2016,0.72,0.57,0.84,0.001,4.524,3.64,-1.753,0.069,0.363
3/18/2016,0.54,-0.17,0.34,0.001,-1.891,-1.498,0.108,-2.056,-0.028
3/21/2016,0.1,-0.31,-0.21,0.001,1.192,-4.143,0.756,1.767,0.501
3/22/2016,-0.05,-0.45,-0.01,0.001,-0.169,1.915,0.054,0.344,0.915
3/23/2016,-0.86,-0.08,-1.17,0.001,-4.005,-3.704,-0.803,0.034,-0.549
3/24/2016,0,-0.06,0.46,0.001,-0.829,0.669,0,-1.147,0.58
3/28/2016,0.04,0.14,-0.02,0.001,-0.177,2.326,1.728,0.139,-0.165
3/29/2016,1.07,-1.19,1.76,0.001,-2.818,2.976,1.221,-0.727,0.77
3/30/2016,0.41,0.14,-0.29,0.001,0.104,0.757,-2.674,0.505,-0.764
